Customer_ID,Full_Name,Birth_Date,Region_ID
100000,Customer_0,1965-08-12,2
100001,Customer_1,1983-05-13,3
100002,Customer_2,1964-06-18,9
100003,Customer_3,1951-08-04,2
100004,Customer_4,1987-03-02,9
100005,Customer_5,1981-08-01,3
100006,Customer_6,1962-01-17,3
100007,Customer_7,1991-12-14,10
100008,Customer_8,1974-03-20,1
100009,Customer_9,1990-02-18,4
100010,Customer_10,1951-11-05,10
100011,Customer_11,1960-07-09,4
100012,Customer_12,1995-07-17,10
100013,Customer_13,1981-03-07,3
100014,Customer_14,1950-01-12,4
100015,Customer_15,1973-03-16,4
100016,Customer_16,1991-08-19,3
100017,Customer_17,1962-07-01,6
100018,Customer_18,1980-04-10,8
100019,Customer_19,1961-10-06,10
100020,Customer_20,1971-05-02,7
100021,Customer_21,1972-06-16,5
100022,Customer_22,1951-08-19,5
100023,Customer_23,1951-10-17,4
100024,Customer_24,1970-08-13,1
100025,Customer_25,1959-09-21,9
100026,Customer_26,1962-01-15,7
100027,Customer_27,1976-02-16,1
100028,Customer_28,1991-04-19,1
100029,Customer_29,1982-03-08,3
100030,Customer_30,1993-10-10,1
100031,Customer_31,1983-03-25,6
100032,Customer_32,1990-07-27,1
100033,Customer_33,1959-03-17,10
100034,Customer_34,1995-02-20,10
100035,Customer_35,1997-11-02,6
100036,Customer_36,1982-12-15,4
100037,Customer_37,1986-09-04,5
100038,Customer_38,1973-05-10,2
100039,Customer_39,1957-01-21,2
100040,Customer_40,1961-09-05,7
100041,Customer_41,1968-10-15,9
100042,Customer_42,1990-11-01,8
100043,Customer_43,1970-10-04,1
100044,Customer_44,1958-08-05,7
100045,Customer_45,1964-01-21,8
100046,Customer_46,1987-09-23,2
100047,Customer_47,1978-05-22,1
100048,Customer_48,1970-08-22,6
100049,Customer_49,1953-05-08,9
100050,Customer_50,1989-02-27,6
100051,Customer_51,1968-11-09,9
100052,Customer_52,1950-05-13,7
100053,Customer_53,1991-05-13,10
100054,Customer_54,1950-07-26,7
100055,Customer_55,1953-03-12,4
100056,Customer_56,1998-11-22,6
100057,Customer_57,1998-09-25,8
100058,Customer_58,1954-06-02,9
100059,Customer_59,1977-11-21,3
100060,Customer_60,1991-09-25,4
100061,Customer_61,1979-09-18,1
100062,Customer_62,1962-02-07,5
100063,Customer_63,1959-11-17,6
100064,Customer_64,1964-08-10,6
100065,Customer_65,1951-11-14,5
100066,Customer_66,1982-03-18,9
100067,Customer_67,1967-11-05,1
100068,Customer_68,1967-06-20,7
100069,Customer_69,1982-07-02,4
100070,Customer_70,1960-10-08,5
100071,Customer_71,1989-08-12,5
100072,Customer_72,1995-08-03,9
100073,Customer_73,1954-06-12,8
100074,Customer_74,1967-01-13,8
100075,Customer_75,1968-01-20,1
100076,Customer_76,1996-12-11,4
100077,Customer_77,1976-12-16,8
100078,Customer_78,1974-03-26,2
100079,Customer_79,1972-07-04,2
100080,Customer_80,1981-02-08,7
100081,Customer_81,1957-03-12,10
100082,Customer_82,1989-08-13,10
100083,Customer_83,1974-11-20,8
100084,Customer_84,1964-10-07,6
100085,Customer_85,1950-12-14,5
100086,Customer_86,1954-12-06,10
100087,Customer_87,1990-06-10,5
100088,Customer_88,1998-09-22,3
100089,Customer_89,1978-01-06,4
100090,Customer_90,1999-02-09,3
100091,Customer_91,1994-03-23,5
100092,Customer_92,1980-02-11,4
100093,Customer_93,1993-08-17,2
100094,Customer_94,1978-01-19,3
100095,Customer_95,1969-10-07,8
100096,Customer_96,1996-07-19,3
100097,Customer_97,1972-09-12,1
100098,Customer_98,1966-06-04,3
100099,Customer_99,1984-03-13,2
100100,Customer_100,1991-03-22,5
100101,Customer_101,1984-06-07,5
